Plot ID,Year,Biomass,Shadow,,,,
119601201,2001,43.43668405,34.52901866,0.94,0.25,0.2,65.57
119601202,2001,23.87348972,21.06752033,0.94,0.25,0.2,52.56
219600101,2002,13.778918,13.28466436,0.89,0.25,0.2,54.13
219600102,2002,7.316683448,8.028654186,0.89,0.25,0.2,43.11
219600201,2002,6.839510148,7.704642886,1,0.125,0,32.11
219600202,2002,12.01755892,11.6898914,0.89,0.25,0.2,45.22
219600301,2002,14.10717967,13.04610438,0.67,0.375,0.49,59
219600302,2002,12.27571789,12.30735258,0.94,0.25,0.2,42.5
219600401,2002,13.49330454,13.39997338,1,0.125,0,39.33
219600401,2007,16.76748327,15.99186271,1,0.125,0,44.33
219600402,2002,10.0837571,10.09979312,1,0.125,0,55.11
219600402,2007,14.55398383,13.96013191,1,0.125,0,61.5
219900101,2002,9.79101317,10.31266744,1,0.125,0,51.33
219900101,2007,15.78761593,15.26326454,1,0.125,0,56.8
300400102,2003,28.89652501,23.21822953,0.06,0.375,0.41,62.5
300600101,2003,21.87209796,18.5730455,0.78,0.375,0.49,32.5
300600202,2003,6.944015617,5.948467459,1,0.25,0.49,25.75
300600301,2003,18.82855227,16.66893876,0.89,0.25,0.2,61.67
300600302,2003,17.86066234,17.93502573,0.88,0.375,0.23,53.79
300800102,2003,6.995919677,7.422904856,1,0.125,0,186.22
301000101,2003,25.97544075,19.78675584,0.56,0.375,0.64,66.5
301000201,2003,20.40746217,21.02042158,0.78,0.375,0.49,110.29
301100101,2003,31.75837431,21.31663607,0.56,0.5,0.72,39.5
301100102,2003,11.00865117,9.394166282,0.4,0.5,0.72,15
301200102,2003,39.10837729,27.88502772,0.61,0.625,0.77,72.5
301200201,2003,40.39284646,28.71973632,0.22,0.375,0.57,56.4
301200302,2003,19.53746475,18.67619027,0.67,0.25,0.44,62
301200401,2003,30.32271843,28.46031617,0.56,0.25,0.2,55
301300102,2003,36.57149751,23.86037107,0.22,0.375,0.49,69.33
301400101,2003,37.278706,23.41979412,0.89,0.375,0.57,NA
301400202,2003,43.43357596,41.3653756,0.89,0.375,0.37,136
301500102,2003,28.63422351,18.2818073,0.89,0.25,0.2,79
301700101,2003,28.52752366,21.72629975,0.36,0.25,0.41,76
301700201,2003,27.59667968,17.22708668,1,0.25,0.2,NA
301700302,2003,24.22647775,16.17880004,0.38,0.5,0.72,23
301700402,2003,14.87850228,13.14281517,0.75,0.625,0.75,76.33
301800301,2003,17.68417084,17.17988739,0.63,0.375,0.53,92.5
301800302,2003,40.45645882,29.30452495,0.39,0.625,0.72,71
301800401,2003,31.60607933,21.41279393,0,0.125,0,68.14
502800101,2005,6.942409734,7.384049638,0.94,0.25,0.2,36.78
502800102,2005,13.38696939,12.93431395,0.89,0.375,0.49,39.13
502800202,2005,3.63834515,4.02008249,0.83,0.25,0.28,110
504700102,2005,31.27666448,24.97822514,0.44,0.5,0.67,49.25
519800102,2005,8.349201027,8.346432566,0.88,0.5,0.56,39.17
519800202,2005,19.62375178,17.06141165,0.56,0.375,0.59,56.4
602400102,2006,47.37387563,26.99271488,1,0.25,0.22,NA
602400201,2006,14.98672993,13.52744664,0.78,0.25,0.35,29.57
602500101,2006,9.320230156,8.536687417,0.42,0.375,0.5,NA
602500102,2006,42.4284905,28.25176468,0.36,0.5,0.61,90
602500202,2006,79.86430703,43.36207136,0.89,0.625,0.64,71
602500302,2006,149.921869,66.26277384,1,0.25,0.2,NA
602500401,2006,8.088173987,7.62592714,0.44,0.375,0.64,30.83
602500501,2006,20.93134992,18.21736695,0.88,0.25,0.22,51.17
602500601,2006,48.8477581,26.83075949,1,0.125,0,NA
602500702,2006,7.610424243,8.327281417,0.83,0.375,0.37,31.78
602500802,2006,16.62701491,10.93525571,0.8,0.375,0.64,48
602500902,2006,46.8778838,28.69204004,0.89,0.5,0.72,42
700200202,2007,7.485835382,8.085856305,1,0.25,0.2,43.44
700200302,2007,5.182109243,6.156264964,1,0.125,0,40.22
700200401,2007,23.41084142,19.86491867,0,0.125,0,49.22
700200501,2007,11.11108611,10.96777748,1,0.125,0,56
700200601,2007,5.528253357,6.413624234,1,0.25,0.35,21
700200701,2007,7.288543681,7.775316154,0.89,0.25,0.2,42.56
700200801,2007,10.85074842,10.81285926,0.11,0.5,0.52,35.86
700201001,2007,4.407773677,4.682581549,0.08,0.25,0.28,21.67
700201101,2007,4.685268045,5.696687658,1,0.25,0.2,24.89
700201102,2007,4.031741076,4.9676371,1,0.25,0.44,21.78
700201201,2007,9.971482498,9.867767658,0.78,0.5,0.62,73.43
700201302,2007,3.626190477,4.002087448,0.17,0.25,0.28,24.17
700201401,2007,6.238192212,6.836206145,0.75,0.25,0.38,23.13
700300102,2007,57.8283016,42.4026541,0.5,0.5,0.66,99.71
700300201,2007,2.567633351,2.939475149,0,0.25,0.48,26
700300302,2007,1.887406141,2.439283333,0.4,0.375,0.56,37.6
700300401,2007,18.48500989,17.05512846,1,0.125,0,102.89
700300501,2007,0.382212442,0.453645979,1,0.125,0,86
700300601,2007,10.79557822,10.6923729,1,0.125,0,193
700300702,2007,2.810510922,3.136616371,1,0.125,0,21.8
700300801,2007,2.141620898,2.530867042,1,0.25,0.32,20.4
7000400101,1970,7.348999754,7.031286483,0.8,0.25,0.32,55
7000400101,1978,25.90897402,20.03908856,0.5,0.375,0.59,65.88
7000400101,1985,26.98361944,18.95506317,0.6,0.5,0.72,80
7000400101,1997,53.49530053,34.62693582,0.63,0.375,0.59,91
7000400102,1970,3.866475385,3.058051422,1,0.25,0.44,41
7000400102,1978,23.80366492,16.19398022,0.83,0.375,0.5,44.67
7000400102,1985,23.00428108,14.42026214,0.8,0.25,0.32,47.33
7000400102,1997,57.13568391,33.1491809,0.89,0.25,0.2,59.33
7000400201,1970,10.50486383,7.046969313,1,0.125,0,35.4
7000400201,1978,15.86593614,9.929141812,1,0.125,0,43.4
7000400201,1985,20.48183996,12.2428117,1,0.125,0,50.4
7000400201,1997,46.97614805,27.03815487,1,0.125,0,62.4
7000400202,1970,3.396525628,2.719764725,1,0.25,0.38,34.75
7000400202,1978,11.31915684,7.435370696,1,0.25,0.32,45.2
7000400202,1985,21.46805299,12.79698865,1,0.125,0,49.8
7000400202,1997,53.32960741,30.08650506,0.89,0.375,0.37,61.8
7000400301,1970,6.436639818,4.668155356,1,0.125,0,40
7000400301,1978,9.413640695,6.31364619,1,0.125,0,48
7000400301,1985,13.04195588,8.201265852,1,0.125,0,55
7000400301,1997,39.31068869,23.5791357,0.89,0.25,0.2,67
7000400302,1970,17.40295129,10.15759843,0.8,0.25,0.32,41.2
7000400302,1978,41.68822667,22.90794071,0.86,0.25,0.24,53.43
7000400302,1985,30.20675794,16.73458548,0.8,0.25,0.32,56.2
7000400401,1970,3.580472015,3.44283369,1,0.5,0.72,21.8
7000400401,1978,10.83027796,10.75636086,1,0.5,0.55,33
7000400401,1985,7.623660821,6.598802272,1,0.5,0.72,36.4
7000400401,1997,23.78823867,17.32621021,1,0.5,0.72,48.8
7000400402,1970,2.637094858,3.169087872,0.6,0.25,0.48,29.2
7000400402,1978,13.13090172,13.22851781,0.8,0.375,0.46,37.4
7000400402,1985,6.147729931,6.202056818,0.8,0.25,0.32,41.2
7000400402,1997,28.17474712,20.0929229,0.5,0.375,0.63,54
7000400501,1970,6.62638715,5.01036276,0.9,0.25,0.32,28.4
7000400501,1978,14.4452459,9.876714914,0.93,0.25,0.24,36.29
7000400501,1985,16.45120917,10.24948373,0.9,0.25,0.32,43.4
7000400501,1997,44.95105785,25.37396528,1,0.125,0,55.5
7000400502,1970,39.99806837,19.27108226,1,0.25,0.48,73
7000400502,1978,42.52168432,21.16955926,1,0.125,0,95.67
7000400502,1985,53.38599781,26.03555956,1,0.25,0.32,85
7000400502,1997,119.4226813,54.46139361,1,0.25,0.47,97
7000400601,1970,6.657229409,4.895807726,1,0.125,0,63.4
7000400601,1978,12.11443491,8.241176645,1,0.125,0,70
7000400601,1985,18.3781927,11.70974626,1,0.125,0,80
7000400602,1970,1.45891545,1.633527649,0.67,0.375,0.67,29
7000400602,1978,1.28715009,1.335503603,1,0.125,0,37
7000400602,1985,6.202589215,6.251417522,0.4,0.375,0.56,47.8
7000400602,1997,8.184384008,7.503932814,0.4,0.375,0.56,52
7000400701,1970,7.096560817,5.097070718,1,0.25,0.32,NA
7000400701,1978,1.533859193,1.115943976,1,0.125,0,36
7000400701,1985,7.201764817,5.718352081,0.8,0.375,0.56,32.4
7000400701,1997,18.06288301,12.43462478,1,0.25,0.24,45.5
7000400702,1970,2.412308291,2.951337802,1,0.25,0.32,22.8
7000400702,1978,5.760445834,6.134751337,1,0.25,0.44,30.33
7000400702,1985,5.49411931,5.494168029,1,0.25,0.38,37.75
7000400702,1997,28.25668116,22.07288025,1,0.25,0.41,46.71
7000400801,1970,8.129515063,6.610463863,1,0.375,0.63,49.25
7000400801,1978,26.34020515,20.80624036,0.56,0.625,0.72,58.11
7000400802,1970,3.699656394,3.94498586,0.9,0.5,0.72,29.2
7000400802,1978,11.50624843,10.29195806,0.94,0.5,0.62,38.44
7000400802,1985,9.423110193,8.173267979,1,0.375,0.64,46.2
7000400802,1997,23.87892392,20.92863681,1,0.375,0.46,58.5
7000400901,1970,69.66705282,32.33462876,1,0.375,0.64,49.33
7000400901,1978,100.7890131,44.34229854,1,0.25,0.48,63.25
7000400901,1985,115.5139408,49.65053455,1,0.25,0.48,70.25
7000400901,1997,87.72132631,42.33926933,0.86,0.5,0.69,90
7000400902,1970,6.42419032,4.815282423,0.5,0.25,0.5,42.5
7000400902,1978,26.55862379,17.81036734,0.4,0.375,0.64,51
7000400902,1985,31.86764172,20.71319895,0.4,0.375,0.64,58
7000400902,1997,75.25849495,44.68264612,0.63,0.375,0.53,70
7000401001,1970,6.609561776,5.941128699,0.6,0.5,0.72,21.6
7000401001,1978,4.729757964,4.394409538,0.6,0.375,0.64,29.8
7000401001,1985,8.965466555,7.757019518,0.6,0.375,0.64,46.8
7000401002,1970,4.545932888,3.503303065,0,0.125,0,57
7000401002,1978,39.76098824,25.38567714,0.67,0.5,0.72,61.83
7000401002,1985,33.8383242,21.99351105,0.6,0.375,0.64,66
7000401002,1997,93.85225588,57.07600294,0.44,0.5,0.62,78
7000401101,1970,4.495328463,3.568145538,1,0.125,0,34
7000401101,1978,11.40471092,8.205890277,0.92,0.25,0.28,42.17
7000401101,1985,18.03587028,11.60831052,0.9,0.25,0.32,47.6
7000401101,1997,49.17240379,28.9727225,0.94,0.25,0.2,59.6
7000401102,1970,5.482127651,5.555140059,0.5,0.125,0,13.4
7000401201,1970,6.970073032,6.424431313,0.63,0.375,0.63,35.75
7000401201,1978,10.24479133,9.01787888,0.6,0.375,0.64,40.8
7000401201,1985,8.997665283,8.907797474,0.88,0.25,0.38,53.33
7000401201,1997,25.29262553,24.66587543,0.8,0.375,0.54,60
7000401202,1970,23.76575515,12.77874228,1,0.125,0,72
7000401202,1978,46.38190812,23.3950635,1,0.125,0,87.5
7000401202,1985,43.22632896,20.8752046,1,0.125,0,90.33
7000401202,1997,99.38370473,47.60302038,0.88,0.25,0.22,84.25
7000401301,1970,17.61382572,14.18064658,1,0.125,0,40.25
7000401301,1978,31.31846689,25.70953764,1,0.125,0,47.25
7000401302,1970,8.165147106,6.65801501,1,0.25,0.38,33
7000401302,1978,25.9083559,19.01769396,0.88,0.375,0.59,48.33
7000401302,1985,22.12925192,15.07300969,0.8,0.375,0.64,59
7000401302,1997,5.592545976,5.683467836,1,0.125,0,67.5
7000401401,1970,2.425679448,2.978782756,0.8,0.25,0.48,17.8
7000401401,1978,7.452800549,8.166331342,0.86,0.25,0.41,26.43
7000401401,1985,7.370430376,7.453868394,0.8,0.25,0.48,32.8
7000401401,1997,16.17133086,15.68267973,0.83,0.375,0.67,40.22
7000401402,1970,10.80322625,7.674433331,1,0.375,0.56,46
7000401402,1978,16.43141789,11.95976677,0.93,0.375,0.61,55
7000401402,1985,16.70405507,11.9147289,0.7,0.5,0.72,63.4
7000401402,1997,39.49339855,28.45659652,0.5,0.5,0.72,75.4
7000401501,1970,5.137976131,5.171111773,1,0.125,0,59
7000401501,1978,18.22615434,17.52425621,1,0.125,0,67
7000401501,1985,19.83359444,12.51660779,1,0.25,0.32,86
7000401501,1997,132.1627859,61.08065393,1,0.25,0.5,89.2
7000401502,1970,12.88007265,11.3811608,1,0.375,0.56,63.6
7000401502,1978,27.88337956,26.67443384,1,0.5,0.51,64.92
7000401502,1985,16.75100746,14.55587841,1,0.375,0.56,78.6
7000401502,1997,39.10608483,34.27452452,1,0.5,0.62,90
7000401601,1970,11.37326869,7.420441848,1,0.375,0.63,50.33
7000401601,1978,17.14319419,11.14958773,0.9,0.5,0.72,52.6
7000401601,1985,22.41296978,14.11082783,0.9,0.5,0.72,59.6
7000401601,1997,60.63500759,34.93848128,0.94,0.5,0.67,74.75
7000401602,1970,17.66086081,11.51526911,1,0.25,0.32,56.8
7000401602,1978,23.96783719,15.17524968,1,0.25,0.28,61.17
7000401602,1985,27.40194241,16.56222514,1,0.25,0.32,71.8
7000401602,1997,91.48724614,51.09054009,1,0.25,0.48,124.6
7000401701,1970,8.388426008,7.62436891,1,0.375,0.63,53.5
7000401701,1978,23.11733172,19.47787445,0.8,0.5,0.58,68.38
7000401701,1985,14.76850342,11.06755446,0.6,0.5,0.72,70
7000401701,1997,16.37775035,11.84852926,0.4,0.375,0.56,92
7000401702,1970,2.644489623,2.978581694,0,0.125,0,23.2
7000401702,1978,5.324417089,5.4968321,0,0.125,0,31.67
7000401702,1985,7.083711786,6.837311986,0,0.25,0.32,41
7000401702,1997,18.13194879,16.18930553,0,0.125,0,54.63
7000401801,1970,11.93268677,7.716907663,1,0.125,0,39.67
7000401801,1978,18.62415184,11.22780082,1,0.125,0,51.75
7000401801,1985,21.94482425,12.88962793,1,0.125,0,58.75
7000401801,1997,70.09107001,35.80963236,1,0.125,0,70.33
7000401802,1970,12.52393647,8.319842125,0.75,0.375,0.63,NA
7000401802,1997,9.328973086,7.699314744,1,0.25,0.48,54.4
7000401901,1970,2.371897073,2.006799122,0.75,0.25,0.5,NA
7000401901,1985,1.206351693,0.916088418,1,0.125,0,34
7000401901,1997,7.295345694,4.545256251,1,0.125,0,48.5
7000401902,1970,8.256579999,5.929668169,0.88,0.25,0.38,NA
7000401902,1985,10.93443838,7.860465881,0.9,0.375,0.56,37.2
7000401902,1997,22.75082288,15.82096007,0.86,0.5,0.69,49.83
7000402001,1970,10.4877077,8.745037841,1,0.25,0.44,54.5
7000402001,1978,41.0537997,32.54674909,1,0.25,0.32,57.7
7000402001,1985,25.59870241,18.84096052,1,0.125,0,59.2
7000402001,1997,44.83193822,34.862882,1,0.125,0,68.44
7000402002,1970,23.09299524,17.47735852,0.9,0.375,0.56,47.2
7000402002,1978,45.03609148,35.59499875,0.95,0.375,0.31,58.64
7000402002,1985,44.45285315,30.67395775,1,0.25,0.32,77.8
7000402002,1997,68.32194087,47.78221683,0.89,0.375,0.49,86.29
7000402101,1970,7.663752979,6.843092516,0.7,0.625,0.8,37.4
7000402101,1978,10.30255936,8.121444266,0.7,0.5,0.72,45
7000402101,1985,14.36723567,10.69800263,0.7,0.5,0.72,52
7000402101,1997,16.63842407,13.5826884,0.67,0.5,0.72,58.6
7000402102,1970,4.835687576,4.723698714,0.8,0.5,0.72,35
7000402102,1978,14.27024159,12.66298087,0.38,0.5,0.56,46
7000402102,1985,12.00899675,9.864048012,0.6,0.5,0.72,52.8
7000402201,1970,7.883259652,7.094218867,0.8,0.375,0.64,46.2
7000402201,1978,28.71675988,22.00602716,0.38,0.375,0.53,56.25
7000402201,1985,18.37751893,13.01649801,0.6,0.25,0.48,55.2
7000402201,1997,47.13163959,32.06611055,0.44,0.25,0.49,67.2
7000402202,1970,19.52496587,12.33303824,0.8,0.375,0.64,27
7000402202,1978,3.642712039,3.524515099,1,0.25,0.44,35
7000402202,1985,6.305722506,5.683819694,1,0.375,0.64,55.25
7000402202,1997,29.72364439,22.63736162,0.78,0.5,0.72,63.8
7000402301,1970,3.056642704,3.28605565,1,0.25,0.38,22.25
7000402301,1978,11.2662977,11.46002735,1,0.25,0.2,31
7000402301,1985,7.36599832,7.145539924,1,0.25,0.32,39.2
7000402301,1997,17.54771713,15.76134521,1,0.25,0.35,49.13
7000402302,1970,11.61507385,9.31896912,1,0.375,0.64,42.25
7000402302,1978,13.9196084,10.65050175,0.83,0.5,0.67,52
7000402302,1985,22.2931499,13.01463819,1,0.25,0.32,60
7000402302,1997,13.1330932,6.514406526,1,0.125,0,77
7000402401,1970,12.2388744,8.307275755,1,0.25,0.32,34.5
7000402401,1978,19.28384323,12.41351328,1,0.25,0.28,45.6
7000402401,1985,22.08007352,13.63742751,1,0.25,0.32,57
7000402401,1997,44.5608072,26.14207212,1,0.375,0.41,69
7000402402,1970,9.440684168,8.593738739,0.7,0.5,0.72,60
7000402402,1978,20.95344136,16.70151079,0.5,0.5,0.69,68.57
7000402402,1985,18.25149234,14.24066357,0.5,0.5,0.72,75
7000402402,1997,41.32976625,30.2192562,0.56,0.625,0.77,84.75
7000402501,1970,7.328201073,6.004111349,0.33,0.25,0.44,29
7000402501,1978,16.10229856,12.31494267,0.33,0.375,0.5,39.2
7000402501,1985,13.88024149,10.49317079,0.4,0.25,0.48,43.4
7000402501,1997,34.46372131,23.20797537,0.63,0.375,0.59,58
7000402502,1970,17.36113278,13.21957056,0.33,0.375,0.5,NA
7000402502,1997,9.482307723,8.935996409,0,0.125,0,26.8
7000402601,1970,6.578320026,6.087501784,0.4,0.375,0.64,21.25
7000402601,1978,26.11848149,21.07043573,0.5,0.375,0.5,33.33
7000402601,1985,30.25186425,23.82428045,0.6,0.25,0.32,41
7000402601,1997,39.55810963,30.80022464,0.71,0.25,0.49,46.29
7000402602,1970,14.24311867,11.08373994,0.2,0.375,0.64,42.4
7000402602,1978,25.08334953,18.97054494,0.13,0.375,0.59,51.63
7000402602,1985,23.84843095,17.08991218,0.2,0.375,0.64,57.4
7000402602,1997,22.1353083,18.16142147,0.88,0.5,0.66,67.2
7000402701,1970,21.83822823,11.55804504,1,0.25,0.38,62.33
7000402701,1978,29.34739226,16.33165737,0.92,0.25,0.28,67.83
7000402701,1985,37.65004835,20.05416821,0.9,0.25,0.32,77.4
7000402701,1997,121.1458248,59.03122968,0.94,0.25,0.2,89.4
7000402702,1970,14.99135004,10.04073118,0.9,0.25,0.32,40
7000402702,1978,33.35465104,17.99484166,1,0.25,0.32,55.75
7000402702,1985,39.65011298,21.08858157,1,0.375,0.56,69
7000402702,1997,71.4551885,37.11779154,1,0.375,0.45,81
7000402801,1970,7.787423668,5.941882681,0.8,0.5,0.72,34.33
7000402801,1978,21.83892644,14.4217701,0.79,0.5,0.61,40.57
7000402801,1985,17.2253642,10.7191644,0.8,0.375,0.56,50.6
7000402801,1997,43.74684283,25.30841909,0.88,0.25,0.22,66.5
7000402802,1970,9.265184536,6.598701741,0.6,0.25,0.48,34
7000402802,1978,18.07859492,11.54231194,0.67,0.25,0.44,43.5
7000402802,1985,12.83461639,8.542970602,0.6,0.25,0.48,49
7000402802,1997,38.37921473,23.2307959,0.88,0.25,0.22,65
7000402901,1970,1.882712293,1.733354897,0.75,0.25,0.5,NA
7000402902,1970,1.869403762,1.751651533,0.5,0.25,0.5,111.5
7000402902,1978,21.73756431,13.52377726,0.83,0.375,0.5,69.67
7000402902,1985,15.62464477,10.1036133,0.8,0.375,0.56,76.6
7000402902,1997,33.77234552,20.99629415,0.88,0.375,0.53,94.25
7000403001,1970,10.52536077,8.733124922,0.75,0.25,0.38,71.25
7000403001,1978,30.55592623,26.29533157,0.68,0.375,0.58,87.91
7000403001,1985,13.66470462,11.39644151,0.6,0.375,0.64,86.4
7000403001,1997,26.1036003,21.06752033,0.63,0.5,0.66,82.75
7000403002,1970,2.071629388,1.867563735,0.75,0.25,0.5,55
7000403002,1978,16.96897618,12.59743468,0.81,0.375,0.66,58.88
7000403002,1985,9.258880782,7.798237214,0.7,0.375,0.56,66.8
7000403002,1997,27.09847716,19.45284224,0.72,0.5,0.72,78.8
7000403101,1970,8.657854783,7.698661293,0,0.25,0.48,37
7000403101,1978,20.25488635,16.88452742,0,0.25,0.49,45.83
7000403101,1985,9.846623487,8.194429747,0.4,0.5,0.72,51.2
7000403101,1997,18.76057614,14.67928017,0.89,0.375,0.49,55.4
7000403102,1970,8.554085301,7.215610007,1,0.375,0.56,33.6
7000403102,1978,13.53743237,10.52312902,1,0.375,0.61,39.2
7000403102,1985,14.39174945,10.90459376,1,0.25,0.48,46.25
7000403102,1997,30.71463266,21.87020982,0.89,0.375,0.49,54.17
7000403201,1970,9.401738881,6.278912741,1,0.125,0,35.67
7000403201,1978,18.52321567,11.35064966,1,0.125,0,48.25
7000403201,1985,37.66826728,22.02623388,0.8,0.25,0.32,64
7000403201,1997,50.51394694,28.25045778,1,0.125,0,65.33
7000403202,1970,11.52142864,8.251983724,0.9,0.25,0.32,30.8
7000403202,1978,19.21451507,12.61698796,1,0.25,0.28,38.83
7000403202,1985,22.15693433,13.64084557,1,0.25,0.32,45.8
7000403202,1997,53.4984484,30.99636055,1,0.25,0.18,57.8
7000403301,1970,6.294939508,4.474934841,1,0.125,0,45
7000403301,1978,22.16921296,14.62006743,0.83,0.25,0.28,56.33
7000403301,1985,27.87763077,17.20723181,0.8,0.25,0.32,67.2
7000403301,1997,61.67059685,35.30959134,0.89,0.25,0.2,79.2
7000403302,1970,25.99396379,15.82176432,0.75,0.25,0.38,57
7000403302,1978,35.68824929,21.62315498,0.83,0.25,0.28,59.25
7000403302,1985,35.84344538,21.25420634,0.8,0.25,0.32,71.67
7000403302,1997,56.47501508,30.83852694,1,0.125,0,83.67
7000403401,1970,5.560826132,5.744037742,1,0.375,0.56,27.5
7000403401,1978,19.21312662,18.07667386,1,0.375,0.34,36.78
7000403401,1985,9.931560197,9.217231784,1,0.375,0.56,42.5
7000403401,1997,36.25794961,29.35971645,1,0.375,0.49,55.75
7000403402,1970,9.004048565,6.16053753,1,0.125,0,33.67
7000403402,1978,15.17034272,9.831325183,1,0.125,0,42.6
7000403402,1985,12.18701217,7.862275439,1,0.125,0,48.2
7000403402,1997,63.76417794,36.1277626,1,0.125,0,71
7000403501,1970,8.183032768,6.031757364,0.5,0.25,0.5,38
7000403501,1978,19.59885883,12.82041236,0.8,0.25,0.32,49.8
7000403502,1970,3.102904857,3.175220261,0.33,0.25,0.44,50
7000403502,1978,4.504498778,4.555158551,0.75,0.25,0.38,60.67
7000403502,1985,6.132570625,6.089462138,0.8,0.25,0.32,60.67
7000403502,1997,5.89954315,5.490900773,0.67,0.25,0.44,32.5
7000403601,1970,6.331502523,5.505326966,1,0.125,0,40.5
7000403602,1970,3.589606466,3.880947635,1,0.125,0,35.75
7000403602,1978,0.518579948,0.641839945,1,0.125,0,NA
7000403602,1985,0.928796386,0.785398163,1,0.125,0,36
7000403602,1997,1.154320074,1.223260781,1,0.125,0,46
7000403701,1970,12.65740152,9.182749663,0,0.375,0.67,47
7000403701,1978,26.91926945,20.58467011,0,0.375,0.66,51.25
7000403701,1985,18.90198267,13.48135319,0,0.375,0.64,54.6
7000403701,1997,40.94992954,28.53596572,0.25,0.375,0.66,70.17
7000403702,1970,24.41080631,16.9885267,0.4,0.375,0.64,68.8
7000403702,1978,45.10099446,30.3181284,0.29,0.5,0.73,77.71
7000403702,1985,32.9689698,21.61068914,0.6,0.25,0.48,78.2
7000403702,1997,66.06210227,41.35039649,0.63,0.25,0.47,90.2
7000403801,1970,64.40646669,32.47406521,0.8,0.25,0.32,44
7000403801,1978,68.00503474,34.96738393,0.83,0.25,0.28,51.8
7000403801,1985,19.00903993,11.58302698,1,0.125,0,58.8
7000403801,1997,44.94294552,26.11412451,1,0.25,0.24,68
7000403802,1970,9.058538144,7.541883253,0.5,0.375,0.63,45.33
7000403802,1978,19.40957136,14.56170921,0.67,0.375,0.5,55.25
7000403802,1985,16.62095999,12.90747218,0.4,0.5,0.72,67.4
7000403802,1997,1.346737891,1.385115635,1,0.125,0,44
7000403901,1970,61.12556277,26.70977048,0.75,0.25,0.38,69.75
7000403901,1978,87.2001822,38.94097085,0.83,0.25,0.28,82.6
7000403901,1985,82.66095364,34.81070642,0.8,0.375,0.56,74.8
7000403901,1997,156.5081803,66.72295433,1,0.25,0.38,94.25
7000403902,1970,5.869749057,5.975359493,1,0.25,0.48,18.6
7000403902,1978,9.893035021,9.219845589,1,0.25,0.48,26.6
7000404001,1970,1.833674555,1.842380729,0.67,0.375,0.67,37.33
7000404001,1978,10.853784,8.388203182,0.5,0.5,0.67,40.8
7000404001,1985,17.72740883,12.30036568,0.4,0.375,0.56,61.4
7000404001,1997,46.26454111,29.59385306,0.63,0.25,0.47,89
7000404002,1970,3.251454989,3.869788698,1,0.25,0.32,37.8
7000404002,1978,9.329408419,9.879881639,1,0.25,0.22,47.25
7000404002,1985,8.343521615,8.314262657,0.9,0.375,0.56,59.2
7000404002,1997,19.40941519,17.70707177,0.94,0.375,0.41,60
7000404101,1970,5.323862864,4.864994985,1,0.25,0.48,30.2
7000404101,1978,17.12834435,15.85750308,1,0.25,0.3,37.45
7000404101,1985,6.87731132,6.632178552,1,0.25,0.32,46.2
